University,Total students,PG students1,UG students1,International students,UG students2,PG students2,Total faculty staff,Domestic staff,International staff
"National Technical University  ""Kharkiv Polytechnic Institute""",13218,28.60%,71.40%,703,78.10%,21.90%,1441,1438,3
Osaka Prefecture University,7780,24.70%,75.30%,204,22.10%,77.90%,878,851,27
Philipps-Universität Marburg,25627,null,null,2878,null,null,2157,1914,243
Pontifícia Universidade Católica de São Paulo,7126,15.80%,61.90%,null,null,null,680,null,null
Rutgers - The State University of New Jersey  Newark,10263,26%,74%,1101,37%,63%,847,730,117
Samara National Research University (Samara University),10070,32.20%,67.80%,712,68.70%,31.30%,1149,1095,54
Sejong University,12119,11.70%,88.30%,1209,66.80%,33.20%,941,856,85
Stevens Institute of Technology,6048,48%,52%,2342,5%,95%,310,263,47
Temple University,35278,23%,77%,2997,61%,39%,2760,2662,98
Universidad de Antioquia,41598,9.10%,90.90%,null,null,null,1734,null,null
Universidad del Pais Vasco,40052,6%,94%,835,null,null,3970,null,null
Universidad Iberoamericana IBERO,12518,11.50%,88.50%,null,null,null,623,null,null
Universidade de Santiago de Compostela,22432,18%,82%,1276,31%,69%,1747,1730,17
Universidade Federal de Minas Gerais,49655,29.40%,70.50%,null,null,null,3320,null,null
Universidade Federal do Rio Grande Do Sul,46956,39.90%,60.10%,null,null,null,2689,null,null
University of Genoa,22939,20%,80%,2078,74%,26%,1370,1332,38
University of Hohenheim,9235,38%,62%,1230,31%,69%,404,361,43
Universit?Claude Bernard Lyon 1,37094,41%,59%,3773,46%,54%,2225,2091,134
Universit?de Sherbrooke,14373,21%,79%,1115,37%,63%,1168,904,264
Universiti Teknologi MARA - UiTM,47801,11.90%,88.10%,529,74.70%,25.30%,3313,3254,59
University of Denver,9245,40%,60%,714,60%,40%,932,906,26
University of Haifa,13437,41%,59%,null,null,null,1009,null,null
University of Houston,34896,18%,82%,3454,39%,61%,1586,1517,69
University of Minho,18205,46%,54%,1703,17%,83%,1939,1726,213
University of Pécs,13430,41%,59%,3714,28.60%,71.40%,1528,1504,24
Plymouth University,18414,9%,91%,2575,78%,22%,1286,1032,254
University of Seoul,8619,16.60%,83.40%,347,43.50%,56.50%,814,777,37
University of Sharjah,14362,9.10%,90.90%,8999,93.90%,6.10%,678,29,649
University of Westminster,16570,18%,82%,7493,73%,27%,1019,693,326
University of Windsor,13458,17%,83%,2351,81%,19%,316,null,null
Zayed University,6442,4%,96%,158,68.40%,31.60%,520,33,487
Abu Dhabi University,3757,12.40%,87.60%,2568,95.90%,4.10%,172,4,168
Beijing Jiaotong University,27334,43.30%,56.70%,1731,68.20%,31.80%,2030,1970,60
Beijing University of Technology,22858,37.30%,62.70%,655,62.40%,37.60%,2087,2036,51
Bournemouth University,15841,13%,87%,2873,62%,38%,828,589,239
Central South University,53069,35.50%,64.50%,980,15.90%,84.10%,3599,3352,247
Chonnam National University,22031,17.60%,82.40%,1071,57.80%,42.20%,2196,2102,94
Chungnam National University,21050,19.20%,80.80%,844,58.40%,41.60%,1860,1779,81
Clemson University,21561,16%,84%,1383,9%,91%,1373,1353,20
Dankook University,23808,9.60%,90.40%,753,72.20%,27.80%,2830,2710,120
Georgia State University,26703,22%,78%,1704,31%,69%,1536,1463,73
Hunan University,36184,44.10%,55.90%,988,39.40%,60.60%,2265,2183,82
Kansas State University,21166,15%,85%,1725,55%,45%,1414,1334,80
Lahore University of Management Sciences (LUMS),4365,16.60%,83.40%,null,null,null,299,285,14
London South Bank University,10976,20%,80%,3637,77%,23%,759,579,180
Manipal Academy of Higher Education,25036,22.50%,77.50%,1513,98.30%,1.70%,2584,2565,19
Maynooth University,9327,16%,84%,1000,72%,28%,553,400,153
Memorial University of Newfoundland,15274,19%,81%,2664,50%,50%,1001,851,150
"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",26909,53.20%,46.80%,null,null,null,2527,2522,5
Northumbria University at Newcastle,22439,14%,86%,3691,67%,33%,1362,1136,226
Nottingham Trent University,27779,12%,88%,3336,50%,50%,1614,1329,285
Pontificia Universidad Católica de Valparaíso,16699,4.70%,91.50%,null,null,null,843,null,null
Riga Technical University,10753,25.60%,74.40%,1355,53.20%,46.80%,822,759,63
Universitat Rovira i Virgili,null,null,null,null,null,null,null,null,null
Shenzhen University,35018,18.50%,81.50%,305,82.30%,17.70%,3344,3183,161
Southern Methodist University,9906,36%,64%,1505,35%,65%,956,895,61
Sumy State University,9288,23.50%,76.50%,1300,93.40%,6.60%,927,922,5
Universidad Adolfo Ibàñez,10579,16.80%,83.20%,null,null,null,353,null,null
Universidad Central de Venezuela,49501,11.50%,88.50%,null,null,null,3306,null,null
Universidad de Alicante,null,null,null,null,null,null,null,null,null
Universidad de Guadalajara (UDG),123932,5.40%,94.60%,null,null,null,11334,null,null
Universidad ICESI,6524,8.30%,91.70%,null,null,null,722,null,null
Universidade Federal de Santa Catarina,32368,31.10%,68.90%,null,null,null,2888,null,null
University of Siena,11346,47%,53%,926,46%,54%,828,790,38
University of Trieste,15851,44%,56%,1350,55%,45%,748,715,33
Universität Potsdam,20180,null,null,2273,null,null,688,null,null
Universit?de Lille,67127,null,null,7963,null,null,3300,2954,346
University at Albany SUNY,15387,18%,82%,1252,58%,42%,824,738,86
Universiti Malaysia Perlis,9096,13.50%,86.50%,1118,64.30%,35.70%,1072,1013,59
University of Alabama,33814,11%,89%,1099,53%,47%,1547,1485,62
University of Baghdad,66948,10.30%,89.70%,94,92.60%,7.40%,6743,6725,18
University of Central Florida,49284,11%,89%,1586,42%,58%,1913,1765,148
University of Greenwich,15850,14%,86%,5441,80%,20%,867,614,253
University of Huddersfield,13869,14%,86%,3177,83%,17%,779,631,148
University of Hull,14247,13%,87%,2658,71%,29%,900,695,205
University of Patras,25551,15%,85%,1039,92%,8%,845,840,5
University of Tulsa,4193,22%,78%,1013,78%,22%,381,369,12
University of Wyoming,10514,18%,82%,725,51%,49%,961,875,86
Viet Nam National University Ho Chi Minh City (VNU-HCM),61675,5.30%,94.70%,187,52.90%,47.10%,4021,3809,212
Yamaguchi University,10419,15.30%,84.70%,376,26.60%,73.40%,1164,1108,56
Ajman University,7252,3.60%,96.40%,5577,97.30%,2.70%,347,12,335
Anna University,14941,28.10%,71.90%,10,50%,50%,736,null,null
Brigham Young University,31437,8%,92%,1152,79%,21%,1488,1475,13
Chongqing University,42413,37.90%,62.10%,559,25.40%,74.60%,2855,2752,103
Comenius University in Bratislava,22726,6.70%,93.30%,2187,95%,5%,2009,null,null
Dublin Institute of Technology,14882,13%,87%,2717,75%,25%,934,779,155
Florida International University,38378,19%,81%,3427,64%,36%,1757,1589,168
Gunma University,null,null,null,null,null,null,null,null,null
Jamia Millia Islamia,8240,33.30%,66.70%,239,51%,49%,815,793,22
Kaunas University of Technology,9355,26.90%,73.10%,548,56.90%,43.10%,821,806,15
Kazakh-British Technical University,1789,14%,86%,21,71.40%,28.60%,112,80,32
Lanzhou University,32812,40.40%,59.60%,391,21%,79%,2944,2892,52
London Metropolitan University,9223,15%,85%,3598,86%,14%,413,326,87
Loyola University Chicago,14856,29%,71%,895,58%,42%,1212,1164,48
Manchester Metropolitan University,28605,13%,87%,4200,79%,21%,1873,1582,291
Lviv Polytechnic National University,20955,27.20%,72.80%,249,76.70%,23.30%,2130,2128,2
New Jersey Institute of Technology (NJIT),8886,26%,74%,1945,16%,84%,584,529,55
O.P. Jindal Global University,3613,16.20%,83.80%,40,12.50%,87.50%,285,234,51
Oklahoma State University,21822,12%,88%,1690,52%,48%,1406,1127,279
Universitas Padjadjaran,31260,20.40%,79.60%,474,65.40%,34.60%,3348,3293,55
Paris Lodron University of Salzburg,14202,54%,46%,5073,61%,39%,535,null,null
Plekhanov Russian University of Economics,14919,27.20%,72.80%,1430,68.70%,31.30%,1409,1336,73
Shinshu University,10909,16.60%,83.40%,335,57.60%,42.40%,1091,1042,49
Slovak University of Technology in Bratislava,12733,38.90%,61.10%,375,64%,36%,1255,1238,17
"Sofia University ""St. Kliment Ohridski""",19494,37.50%,62.50%,1066,41.40%,58.60%,1679,1671,8
Southern Cross University,9177,19%,81%,1832,60%,40%,417,320,97
Sunway University,4662,0.90%,99.10%,507,98.20%,1.80%,378,315,63
Technical University of Liberec,6601,31.20%,68.80%,452,60.80%,39.20%,546,511,35
TU Dortmund University,30767,24%,76%,2744,63%,37%,1867,1698,169
Universidad de La Sabana,12131,18.30%,81.70%,null,null,null,853,null,null
Universidad de las Américas Puebla (UDLAP),6099,8.20%,91.80%,null,null,null,503,null,null
Universidad San Francisco de Quito (USFQ),9044,5.10%,94.90%,null,null,null,748,null,null
Universidad del Rosario,9511,12.10%,87.90%,null,null,null,780,null,null
Ca' Foscari University of Venice,14209,29%,71%,840,63%,37%,532,477,55
University of Modena and Reggio Emilia,17333,38%,62%,1118,60%,40%,1017,984,33
Universit?degli Studi di Perugia,25017,42%,58%,1327,61%,39%,1027,970,57
Bielefeld University,24715,41%,59%,1809,41%,59%,1482,1336,146
University Duesseldorf,33306,null,null,3591,null,null,1624,null,null
Universität Rostock,13698,null,null,1122,null,null,503,null,null
University of Lorraine,59299,31%,69%,9170,49%,51%,3080,2822,258
Universiti Malaysia Pahang,9460,11.50%,88.50%,607,45.60%,54.40%,623,528,95
University of Brescia,10509,37%,63%,1003,70%,30%,523,509,14
University of Crete,15124,12%,88%,693,87%,13%,601,590,11
University of East London,10755,17%,83%,3114,81%,19%,630,431,199
University of Hertfordshire,19291,13%,87%,4870,82%,18%,1109,876,233
University of Maribor,13131,32.30%,67.70%,607,56%,44%,1104,1084,20
University of Southern Queensland,13412,24%,76%,1387,32%,68%,533,409,124
University of the West of England,null,null,null,null,null,null,null,null,null
University of Zagreb,59625,53.80%,46.20%,497,14.90%,85.10%,4879,4841,38
Yokohama National University,9809,23.80%,76.20%,732,29.80%,70.20%,829,781,48
Adam Mickiewicz University  Poznan,39590,45.90%,54.10%,668,55.20%,44.80%,2861,2730,131
AGH University of Science and Technology,null,null,null,null,null,null,null,null,null
Ain Shams University,160767,14.40%,85.60%,4432,79%,21%,11259,10084,1175
Alexandria University,203013,12.50%,87.50%,4102,67%,33%,9600,9530,70
Aligarh Muslim University,17159,29.50%,70.50%,408,46.60%,53.40%,1527,null,null
Amrita Vishwa Vidyapeetham (Amrita University),18433,27.40%,72.60%,294,70.10%,29.90%,1594,1296,298
Ankara Üniversitesi,65350,23.10%,76.90%,3127,66.80%,33.20%,4209,4150,59
Assiut University,73050,7.30%,92.70%,522,49%,51%,5305,null,null
Athens University of Economics and Business,9541,15%,85%,331,89%,11%,278,276,2
Auburn University,26697,16%,84%,2321,52%,48%,1405,1310,95
Australian Catholic University,23078,10%,90%,4030,86%,14%,1113,828,285
Babes-Bolyai University,32724,24.50%,75.50%,757,71.90%,28.10%,1569,1473,96
Baku State University,19174,1%,99%,645,89.50%,10.50%,1909,1859,50
Banaras Hindu University,24246,37.60%,62.40%,402,62.70%,37.30%,1641,1631,10
Bangladesh University of Engineering and Technology,7775,31.30%,68.70%,null,null,null,476,null,null
Baylor University,16414,14%,86%,698,70%,30%,1137,1105,32
Beijing Foreign Studies University,9176,30.90%,69.10%,1223,85.70%,14.30%,868,772,96
Beirut Arab University,8998,11.10%,88.90%,1439,86.70%,13.30%,426,301,125
Belarusian National Technical University (BNTU),23371,4.30%,95.70%,1572,95.50%,4.50%,2108,2064,44
Bina Nusantara University (BINUS),14145,1.70%,98.30%,311,83.60%,16.40%,1052,961,91
Binghamton University SUNY,15960,17%,83%,2338,49%,51%,804,744,60
Birla Institute of Technology and Science  Pilani,11846,13.50%,86.50%,null,null,null,607,606,1
Birmingham City University,null,null,null,null,null,null,null,null,null
Budapest University of Technology and Economics,19997,29.70%,70.30%,1405,72.60%,27.40%,1352,1342,10
Canterbury Christ Church University,null,null,null,null,null,null,null,null,null
COMSATS Institute of Information Technology,33030,15.90%,84.10%,378,87%,13%,2902,2867,35
Corvinus University of Budapest,12817,24.40%,75.60%,1599,79.10%,null,null,null,null
Cracow University of Technology,null,null,null,null,null,null,null,null,null
Czech University of Life Sciences in Prague,15936,35.40%,64.60%,2714,68.80%,31.20%,831,743,88
De La Salle University,13909,27.50%,72.50%,381,75.30%,24.70%,1050,1035,15
De Montfort University,null,null,null,null,null,null,null,null,null
Diponegoro University,41056,22.40%,77.60%,239,36%,64%,2015,1919,96
Karaganda State University named after academician E.A.Buketov,7109,11.10%,88.90%,272,89.30%,10.70%,817,776,41
Edinburgh Napier University,11403,14%,86%,3551,73%,27%,524,441,83
Escuela Politécnica Nacional,7790,12%,88%,null,null,null,700,null,null
Escuela Superior Politécnica del Litoral (ESPOL),10598,5.20%,94.80%,null,null,null,814,null,null
Fordham University,13704,35%,65%,1949,35%,65%,1047,907,140
Gdansk University of Technology,19441,21.90%,78.10%,515,50.70%,49.30%,1204,1191,13
George Mason University,27046,25%,75%,2391,44%,56%,1860,1765,95
German Jordanian University,4042,10.20%,89.80%,555,82%,18%,355,288,67
Glasgow Caledonian University,null,null,null,null,null,null,null,null,null
Hacettepe University,48160,29.30%,70.70%,2075,56.80%,43.20%,2130,2070,60
Istanbul University,120869,14.30%,85.70%,4094,68.50%,31.50%,2948,2837,111
Karaganda State Technical University,8245,12.80%,87.20%,116,100%,null,886,884,2
Kasetsart University,68250,15.50%,84.50%,517,56.90%,43.10%,2981,2860,121
Kazakh Ablai Khan University of International Relations and World Languages,5206,8%,92%,271,94.50%,5.50%,522,487,35
Kent State University,24885,18%,82%,2494,45%,55%,1261,1138,123
Khon Kaen University,32231,21.30%,78.70%,837,60.60%,39.40%,1957,1840,117
King Faisal University,38626,5.20%,94.80%,618,94%,6%,2148,1044,1104
King Mongkut's University of Technology Thonburi,14559,17.30%,82.70%,211,19.90%,80.10%,1041,968,73
Kuwait University,37603,3.40%,96.60%,5345,94.80%,5.20%,1755,1404,351
Kyoto Institute of Technology,4037,32.20%,67.80%,290,30.30%,69.70%,321,310,11
Kyushu Institute of Technology,5653,26.90%,73.10%,231,10%,90%,366,339,27
Liverpool John Moores University,null,null,null,null,null,null,null,null,null
Lodz University of Technology,15580,24.70%,75.30%,525,65%,35%,1350,null,null
Marquette University,10444,23%,77%,444,55%,45%,855,819,36
Miami University,17821,9%,91%,2174,90%,10%,1098,1034,64
Middlesex University,18041,19%,81%,2726,51%,49%,886,619,267
Multimedia University (MMU),9812,7.70%,92.30%,1075,69.70%,30.30%,652,582,70
Mustansiriyah University,48200,6.60%,93.40%,11,63.60%,36.40%,3918,3916,2
Nagoya Institute of Technology (NIT),5645,28.90%,71.10%,244,46.30%,null,null,null,null
National Chung Cheng University,9771,35.20%,64.80%,216,20.80%,79.20%,805,789,16
Nicolaus Copernicus University,23124,51.80%,48.20%,434,24.70%,75.30%,2051,2019,32
Notre Dame University-Louaize NDU,null,null,null,null,null,null,null,null,null
Novosibirsk State Technical University,12368,25.10%,74.90%,2041,84.40%,15.60%,887,881,6
Ohio University,23585,17%,83%,1210,40%,60%,1227,1175,52
Politecnico di Bari,null,null,null,null,null,null,null,null,null
Pontificia Universidad Católica del Ecuador (PUCE),20844,6.40%,93.60%,null,null,null,1613,null,null
Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS),9435,22.30%,77.70%,null,null,null,734,null,null
Poznan University of Technology,null,null,null,null,null,null,null,null,null
Prince of Songkla University,40190,7.70%,92.30%,509,35.60%,64.40%,2391,2294,97
Princess Sumaya University for Technology,2820,8.70%,91.30%,259,93.10%,6.90%,146,112,34
Rhodes University,null,null,null,null,null,null,null,null,null
Riga Stradins University,7584,70.60%,29.40%,1988,null,100%,521,506,15
Rikkyo University,null,null,null,null,null,null,null,null,null
Ritsumeikan University,36314,8.70%,91.30%,2483,59.40%,40.60%,2038,1778,260
Ryerson University,33682,6%,94%,1329,82%,18%,877,null,null
Saitama University,8579,16.50%,83.50%,448,32.80%,67.20%,663,614,49
San Diego State University,31073,12%,88%,2256,74%,26%,1137,1101,36
Savitribai Phule Pune University,5412,98.40%,1.60%,null,null,null,686,null,null
Seoul National University of Science and Technology,11003,12%,88%,355,54.90%,45.10%,689,659,30
Institute of Technology Sepuluh Nopember,13907,18.80%,81.20%,448,58.30%,41.70%,1265,1095,170
Shahid Beheshti University (SBU),18352,58%,42%,112,100%,null,859,852,7
Shanghai International Studies University,12303,29%,71%,2350,83.10%,16.90%,964,819,145
Sheffield Hallam University,null,null,null,null,null,null,null,null,null
Shiraz University,8657,null,100%,82,100%,null,726,null,null
Sophia University,14565,10.60%,89.40%,1597,62.80%,37.20%,1075,926,149
South Ural State University (National Research University),16493,34.30%,65.70%,1707,72.20%,27.80%,1621,1542,79
Tallinn University,7524,39.70%,60.30%,null,null,null,389,297,92
Technical University of Kosice,8436,39.30%,60.70%,293,68.60%,31.40%,761,760,1
Tecnológico de Costa Rica -TEC,9068,11.70%,88.30%,null,null,null,783,null,null
Texas Tech University,32561,15%,85%,2836,49%,51%,1769,1381,388
Thapar Institute of Engineering & Technology,7003,27.80%,72.20%,55,89.10%,10.90%,463,452,11
Robert Gordon University,9629,15%,85%,2114,75%,25%,490,396,94
Tokai University,29680,3.30%,96.70%,780,87.40%,12.60%,2072,1976,96
Tokyo University of Science,19438,15.90%,84.10%,461,76.80%,23.20%,1199,1114,85
Universidad Austral de Chile,15587,6.20%,93.80%,null,null,null,644,null,null
Universidad Autónoma de Nuevo León,111681,4.50%,95.50%,null,null,null,3701,null,null
Universidad Autónoma del Estado de México (UAEMex),61752,5.70%,94.30%,null,null,null,2953,null,null
Universidad Autónoma Metropolitana (UAM),57648,6.70%,93.30%,null,null,null,2888,null,null
Universidad Católica Andres Bello,19847,12.10%,87.90%,null,null,null,714,null,null
Universidad de Castilla-La Mancha,22837,12%,88%,792,55%,45%,1713,1689,24
Universidad de la República (UdelaR),null,null,null,null,null,null,null,null,null
Universidad de Lima,17635,1.30%,98.70%,null,null,null,522,null,null
Universidad de los Andes - Chile,8710,11.70%,88.30%,null,null,null,678,null,null
Universidad de los Andes - (ULA) Mérida,42303,13.10%,86.90%,null,null,null,2500,null,null
Universidad de Monterrey (UDEM),9044,9.60%,90.40%,null,null,null,525,null,null
University of Murcia,28144,14%,86%,1305,67%,33%,1792,1768,24
Universidad de Oviedo,22723,null,null,743,null,null,1588,null,null
Universidad de Puerto Rico,57607,10.20%,91.40%,null,null,null,3892,null,null
Universidad de Talca,11016,5.10%,94.90%,null,null,null,527,null,null
Universidad del Norte,13496,5.40%,94.60%,null,null,null,821,null,null
Universidad del Valle,29482,12.60%,87.10%,null,null,null,1646,null,null
Universidad Diego Portales (UDP),17395,11.80%,88.90%,null,null,null,1198,null,null
Universidad EAFIT,12551,12.10%,87.90%,null,null,null,606,null,null
Universidad Nacional Costa Rica,15479,4.50%,95.50%,null,null,null,1130,null,null
Universidad Nacional de la Asunción,51647,8.40%,91.60%,null,null,null,4304,null,null
Universidad Nacional de Córdoba - UNC,61398,11.30%,88.70%,null,null,null,4383,null,null
Universidad Nacional de Mar del Plata,null,null,null,null,null,null,1001,null,null
Universidad Nacional de Rosario (UNR),null,null,null,null,null,null,null,null,null
Universidad Peruana Cayetano Heredia (UPCH),5717,24.50%,75.10%,null,null,null,945,null,null
Universidad Simón Bolívar (USB),10007,6.60%,93.40%,null,null,null,590,null,null
Universidad Técnica Federico Santa María (USM),19273,5.90%,94.10%,null,null,null,690,null,null
Universidad Tecnológica de Panamà¡  (UTP),17971,2.30%,97.70%,null,null,null,1462,null,null
Universidad Tecnológica Nacional (UTN),null,null,null,null,null,null,null,null,null
Universidade Católica Portuguesa - UCP,10363,43%,57%,1139,null,null,673,638,35
Universidade da Coruña,14855,17%,83%,380,32%,68%,1373,1358,15
Universidade de Brasília,47872,19.90%,80.10%,null,null,null,2891,null,null
Universidade de Vigo,18902,17%,83%,578,39%,61%,1243,1224,19
Universidade do Estado do Rio de Janeiro (UERJ),34477,14.40%,85.60%,null,null,null,2558,null,null
Universidade Estadual de Londrina,18296,29.80%,70.20%,null,null,null,1498,null,null
Universidade Federal de São Carlos (UFSCAR),18258,24.20%,75.80%,null,null,null,1247,null,null
Universidade Federal de Viçosa (UFV),16162,24.70%,75.30%,null,null,null,1190,null,null
Universidade Federal do Paran?- UFPR,36589,21.60%,78.40%,null,null,null,2245,null,null
Universidade Federal de Pernambuco (UFPE),32810,34.20%,65.80%,null,null,null,2669,null,null
Universidade Federal Fluminense,null,null,null,null,null,null,3329,null,null
Catania University,19965,37%,63%,254,62%,38%,1203,1187,16
Universita' degli Studi di Ferrara,16615,15%,85%,1010,73%,27%,564,562,2
University of Salerno,null,null,null,null,null,null,null,null,null
Universit?degli Studi di Udine,null,null,null,null,null,null,null,null,null
Universit?degli studi Roma Tre,32615,22%,78%,1517,80%,20%,825,775,50
University of Palermo,28801,48%,52%,224,53%,47%,1452,1445,7
Universität Siegen,null,null,null,null,null,null,null,null,null
Universit?de Nantes,37468,37%,63%,4194,54%,46%,2090,1897,193
Universit?de Poitiers,26964,null,null,4187,null,null,1201,null,null
Universit?de Rennes 1,25635,37%,63%,2480,34%,66%,1765,1614,151
Universit?Lumière Lyon 2,26122,33%,67%,1677,100%,null,1726,1533,193
Universit Paul-Valery Montpellier 3,18049,35%,65%,5142,null,null,587,532,55
Universit?Toulouse 1 Capitole,21216,25%,75%,4534,43%,57%,429,359,70
Universiti Malaysia Sarawak (UNIMAS),14316,9.80%,90.20%,778,35.90%,64.10%,881,752,129
Universiti Tenaga Nasional (UNITEN),6332,8.90%,91.10%,538,67.10%,32.90%,603,559,44
Universiti Tunku Abdul Rahman (UTAR),18440,2.90%,97.10%,238,69.30%,30.70%,1146,1058,88
University of Arkansas Fayetteville,null,null,null,null,null,null,null,null,null
University of Bahrain,22051,4.40%,95.60%,2440,97.50%,2.50%,999,575,424
University of Bari,29558,39%,61%,406,67%,33%,1437,1374,63
University of Belgrade,101607,30.70%,69.30%,4604,54.50%,45.50%,3356,3258,98
University of Brighton,17412,12%,88%,3575,80%,20%,1041,814,227
University of Bucharest,30222,30.40%,69.60%,652,70.90%,29.10%,1713,1696,17
University of Calcutta,18735,83.70%,16.30%,8,37.50%,62.50%,623,622,1
University of Central Lancashire,17504,13%,87%,3061,80%,20%,1242,1064,178
University of Dhaka,33360,20.40%,79.60%,48,56.30%,43.80%,2268,2248,20
University of Engineering & Technology (UET) Lahore,12368,16.90%,83.10%,1033,99.80%,0.20%,819,811,8
UNIVERSITY OF GDANSK,27729,48.70%,51.30%,500,47.60%,52.40%,1719,1670,49
University of Kufa,23132,6.90%,93.10%,42,78.60%,21.40%,2258,2252,6
University of Kwazulu-Natal,31816,21.20%,78.80%,1052,33.70%,66.30%,1495,1225,270
University of Latvia,14619,31.10%,68.90%,735,66.50%,33.50%,1114,1094,20
University of Lincoln,null,null,null,null,null,null,null,null,null
University of Lodz,27467,33.70%,66.30%,1468,70.20%,29.80%,1902,1861,41
Universiti Malaysia Sabah (UMS),16453,9.70%,90.30%,647,83%,17%,889,780,109
University of Mississippi,21761,17%,83%,591,45%,55%,1944,1815,129
University of Montana Missoula,9886,16%,84%,250,67%,33%,724,719,5
University of Mumbai,32129,58.50%,41.50%,null,null,null,238,null,null
University of New England Australia,15137,25%,75%,752,35%,65%,552,null,null
University of New Hampshire,14079,11%,89%,211,null,100%,883,877,6
University of Ostrava,8591,34.80%,65.20%,null,null,null,828,759,69
University of Parma,null,null,null,null,null,null,null,null,null
University of Peradeniya,18688,35.10%,64.90%,233,24.90%,75.10%,1407,null,null
University of Salford,16769,16%,84%,3553,69%,31%,1046,912,134
University of San Diego,7432,26%,74%,655,72%,28%,599,581,18
University of San Francisco,10238,37%,63%,1684,70%,30%,734,715,19
University of Santo Tomas,34473,8.50%,91.50%,1213,80.10%,19.90%,1990,1750,240
University of Silesia,null,null,null,null,null,null,null,null,null
University of the Pacific,5596,39%,61%,264,77%,23%,578,558,20
University of the Punjab,43847,46.50%,53.50%,124,50.80%,49.20%,1406,1379,27
University of the Western Cape,16934,13.80%,86.20%,1139,42.50%,57.50%,731,630,101
University of Wroclaw,27572,5.70%,94.30%,1497,100%,null,1869,1820,49
Universit?de Toulouse II-Le Mirail,23708,28%,72%,4397,70%,30%,514,439,75
Utah State University,20393,9%,91%,469,56%,44%,976,972,4
Vellore Institute of Technology (VIT),30882,25.50%,74.50%,731,90.20%,9.80%,2466,2338,128
Verona University,18103,29%,71%,887,71%,29%,752,730,22
Vietnam National University  Hanoi,32944,18.60%,81.40%,420,55.20%,44.80%,2456,2352,104
Voronezh State University,15490,20.10%,79.90%,1475,70.20%,29.80%,1417,1386,31
Vytautas Magnus University,5960,27.40%,72.60%,472,35.60%,64.40%,413,364,49
Warsaw University of Life Sciences - SGGW (WULS-SGGW),15295,25.40%,74.60%,1044,43.70%,null,null,null,null
Wroclaw University of Science and Technology (WRUST),28274,19.70%,80.30%,923,68.60%,31.40%,2148,2133,15
Wuhan University of Technology,51497,27.80%,72.20%,1477,50%,50%,3539,3442,97
Xi'an Jiaotong Liverpool University,10015,8.20%,91.80%,568,73.10%,26.90%,625,250,375
Yeungnam University,22090,9.10%,90.90%,1306,52.80%,47.20%,1538,1357,181
